image,domain,num_detections,mean_confidence,latency_sec
000081.png,blurred,5,0.34887019991874696,0.010377883911132812
000081.png,deblurred,2,0.3199189454317093,0.008752822875976562
000081.png,sharp,6,0.549167330066363,0.008509159088134766
000082.png,blurred,4,0.5268475860357285,0.010616540908813477
000082.png,deblurred,2,0.5028684437274933,0.009229183197021484
000082.png,sharp,3,0.7035171985626221,0.008975982666015625
000083.png,blurred,3,0.43857215841611225,0.009748458862304688
000083.png,deblurred,0,0.0,0.008083820343017578
000083.png,sharp,3,0.6201178630193075,0.014046907424926758
000084.png,blurred,3,0.4945620695749919,0.009721040725708008
000084.png,deblurred,1,0.45401445031166077,0.008664131164550781
000084.png,sharp,3,0.687221477429072,0.008715629577636719
000085.png,blurred,2,0.47374841570854187,0.010797977447509766
000085.png,deblurred,1,0.270017147064209,0.008820533752441406
000085.png,sharp,3,0.631294439236323,0.008533716201782227
000086.png,blurred,3,0.30883751312891644,0.01021122932434082
000086.png,deblurred,1,0.6773489713668823,0.008984565734863281
000086.png,sharp,3,0.62089737256368,0.0091552734375
000087.png,blurred,2,0.6517926156520844,0.009829282760620117
000087.png,deblurred,1,0.3806750774383545,0.008929967880249023
000087.png,sharp,4,0.6270664185285568,0.00859522819519043
000088.png,blurred,3,0.3662792344888051,0.009915590286254883
000088.png,deblurred,2,0.3073112219572067,0.008901119232177734
000088.png,sharp,3,0.7257129351298014,0.008591413497924805
000089.png,blurred,2,0.6588774025440216,0.010620355606079102
000089.png,deblurred,0,0.0,0.008420705795288086
000089.png,sharp,3,0.7297681172688802,0.010035991668701172
000090.png,blurred,4,0.5074381902813911,0.009924173355102539
000090.png,deblurred,1,0.36855894327163696,0.0088348388671875
000090.png,sharp,3,0.7832723259925842,0.008804798126220703
000091.png,blurred,1,0.8343796133995056,0.009987354278564453
000091.png,deblurred,1,0.3056069612503052,0.008780479431152344
000091.png,sharp,2,0.8349420130252838,0.008634805679321289
000092.png,blurred,3,0.6625647644201914,0.009592533111572266
000092.png,deblurred,0,0.0,0.008018016815185547
000092.png,sharp,2,0.8537774980068207,0.008640527725219727
000093.png,blurred,2,0.7256387770175934,0.010365009307861328
000093.png,deblurred,2,0.4836791604757309,0.009133338928222656
000093.png,sharp,2,0.85018190741539,0.008488893508911133
000094.png,blurred,2,0.7032092213630676,0.009714841842651367
000094.png,deblurred,2,0.5543355196714401,0.00869131088256836
000094.png,sharp,3,0.6435529987017313,0.008691787719726562
000095.png,blurred,3,0.6738294561704,0.01021265983581543
000095.png,deblurred,2,0.6023624837398529,0.009029626846313477
000095.png,sharp,2,0.8519683480262756,0.008612871170043945
000096.png,blurred,2,0.8688039481639862,0.01235818862915039
000096.png,deblurred,1,0.28821268677711487,0.013481378555297852
000096.png,sharp,2,0.8760821223258972,0.012153148651123047
000097.png,blurred,2,0.8420461714267731,0.012847900390625
000097.png,deblurred,0,0.0,0.010251283645629883
000097.png,sharp,2,0.8717524409294128,0.010726451873779297
000098.png,blurred,3,0.6437411109606425,0.013937711715698242
000098.png,deblurred,3,0.5650332768758138,0.011605978012084961
000098.png,sharp,2,0.8476569056510925,0.011184930801391602
000099.png,blurred,3,0.5962976018587748,0.012410402297973633
000099.png,deblurred,3,0.3371020456155141,0.010743141174316406
000099.png,sharp,3,0.6462530990441641,0.010417461395263672
000100.png,blurred,3,0.6502857208251953,0.011929035186767578
000100.png,deblurred,2,0.4410054087638855,0.010504484176635742
000100.png,sharp,2,0.8433144986629486,0.010391712188720703
000101.png,blurred,13,0.6172652863539182,0.01319575309753418
000101.png,deblurred,9,0.5311784777376387,0.014603137969970703
000101.png,sharp,16,0.5307092070579529,0.013798236846923828
000102.png,blurred,15,0.5800773898760477,0.014853477478027344
000102.png,deblurred,6,0.658045490582784,0.013229131698608398
000102.png,sharp,15,0.5776681701342264,0.015014410018920898
000103.png,blurred,15,0.5735226313273112,0.009938955307006836
000103.png,deblurred,7,0.6473100525992257,0.008742570877075195
000103.png,sharp,17,0.5276384441291585,0.008790254592895508
000104.png,blurred,16,0.5594298634678125,0.01073002815246582
000104.png,deblurred,9,0.5463038120004866,0.009302854537963867
000104.png,sharp,17,0.5690297414274776,0.008808135986328125
000105.png,blurred,14,0.5941261691706521,0.010428905487060547
000105.png,deblurred,6,0.6791590054829916,0.009388923645019531
000105.png,sharp,15,0.5766789734363555,0.00896906852722168
000106.png,blurred,14,0.6136107742786407,0.012412786483764648
000106.png,deblurred,8,0.6277795657515526,0.014883756637573242
000106.png,sharp,14,0.6357624509504863,0.00915837287902832
000107.png,blurred,13,0.6261792733119085,0.010147333145141602
000107.png,deblurred,9,0.6549520227644179,0.00910186767578125
000107.png,sharp,14,0.6199133758034024,0.009072542190551758
000108.png,blurred,11,0.6803197887810793,0.013130664825439453
000108.png,deblurred,7,0.7327190126691546,0.008764505386352539
000108.png,sharp,13,0.6160472493905288,0.008737802505493164
000109.png,blurred,9,0.7096566028065152,0.010030031204223633
000109.png,deblurred,8,0.6462519466876984,0.008823394775390625
000109.png,sharp,10,0.6832636266946792,0.008638620376586914
000110.png,blurred,9,0.7085437509748671,0.010143518447875977
000110.png,deblurred,9,0.597045361995697,0.009048223495483398
000110.png,sharp,11,0.6572935581207275,0.008628368377685547
000111.png,blurred,8,0.7438635937869549,0.013195514678955078
000111.png,deblurred,7,0.6993645770209176,0.00876617431640625
